id,question,url,model_answer,model_name
228344,What color shirt is the person wearing?,http://images.cocodataset.org/val2014/COCO_val2014_000000228344.jpg,blue,paligemma
341678,How many balls are on the racket the boy is holding?,http://images.cocodataset.org/val2014/COCO_val2014_000000341678.jpg,1,paligemma
525369,Do you see a giant teddy bear?,http://images.cocodataset.org/val2014/COCO_val2014_000000525369.jpg,no,paligemma
207611,How many blue umbrellas are in the background?,http://images.cocodataset.org/val2014/COCO_val2014_000000207611.jpg,2,paligemma
299970,What does the sign say?,http://images.cocodataset.org/val2014/COCO_val2014_000000299970.jpg,parking,paligemma
236925,How many hooves are visible?,http://images.cocodataset.org/val2014/COCO_val2014_000000236925.jpg,4,paligemma
341309,Can the woman tell the time?,http://images.cocodataset.org/val2014/COCO_val2014_000000341309.jpg,yes,paligemma
437117,What color is the line on the tennis court?,http://images.cocodataset.org/val2014/COCO_val2014_000000437117.jpg,white,paligemma
212739,Is the guy on flat ground?,http://images.cocodataset.org/val2014/COCO_val2014_000000212739.jpg,no,paligemma
83736,What kind of vehicle is this?,http://images.cocodataset.org/val2014/COCO_val2014_000000083736.jpg,bus,paligemma
512869,What utensil is on the woman's napkin?,http://images.cocodataset.org/val2014/COCO_val2014_000000512869.jpg,fork,paligemma
168583,"Based on the clothing of the people, which season was it when this picture was taken?",http://images.cocodataset.org/val2014/COCO_val2014_000000168583.jpg,winter,paligemma
451308,What items does this person collect?,http://images.cocodataset.org/val2014/COCO_val2014_000000451308.jpg,suitcases,paligemma
432234,How many stuffed toys are pictured?,http://images.cocodataset.org/val2014/COCO_val2014_000000432234.jpg,2,paligemma
485909,Are these people happy?,http://images.cocodataset.org/val2014/COCO_val2014_000000485909.jpg,no,paligemma
556758,Where are the horse standing?,http://images.cocodataset.org/val2014/COCO_val2014_000000556758.jpg,field,paligemma
274272,What is on the bus?,http://images.cocodataset.org/val2014/COCO_val2014_000000274272.jpg,prepay only,paligemma
408039,Who is standing in the picture?,http://images.cocodataset.org/val2014/COCO_val2014_000000408039.jpg,boy,paligemma
90640,Is this a recent picture?,http://images.cocodataset.org/val2014/COCO_val2014_000000090640.jpg,no,paligemma
388770,Is the sky overcast?,http://images.cocodataset.org/val2014/COCO_val2014_000000388770.jpg,yes,paligemma
48739,Who has the camera?,http://images.cocodataset.org/val2014/COCO_val2014_000000048739.jpg,man,paligemma
287570,What color is the skier's jacket?,http://images.cocodataset.org/val2014/COCO_val2014_000000287570.jpg,pink,paligemma
75426,What is drawn on the paper?,http://images.cocodataset.org/val2014/COCO_val2014_000000075426.jpg,arrow,paligemma
533311,What color is the street light?,http://images.cocodataset.org/val2014/COCO_val2014_000000533311.jpg,red,paligemma
203372,Who is holding a sign?,http://images.cocodataset.org/val2014/COCO_val2014_000000203372.jpg,man,paligemma
172979,Is the grass tall?,http://images.cocodataset.org/val2014/COCO_val2014_000000172979.jpg,no,paligemma
90284,What is the color of the pitch?,http://images.cocodataset.org/val2014/COCO_val2014_000000090284.jpg,brown,paligemma
547630,Where is the spoon?,http://images.cocodataset.org/val2014/COCO_val2014_000000547630.jpg,saucer,paligemma
77924,What is the license plate number of the car in front?,http://images.cocodataset.org/val2014/COCO_val2014_000000077924.jpg,fx 1778,paligemma
529528,What do you think was being mixed?,http://images.cocodataset.org/val2014/COCO_val2014_000000529528.jpg,dough,paligemma
80053,How many people are there?,http://images.cocodataset.org/val2014/COCO_val2014_000000080053.jpg,2,paligemma
550529,What color is the stripe on the bike?,http://images.cocodataset.org/val2014/COCO_val2014_000000550529.jpg,red,paligemma
123017,Is it taken in Winter?,http://images.cocodataset.org/val2014/COCO_val2014_000000123017.jpg,no,paligemma
